Age,MaritalStatus,NumberOfDependents,EducationLevel,EmploymentStatus,Experience,AnnualIncome,SavingsAccountBalance,MonthlyDebtPayments,CreditScore,DebtToIncomeRatio,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,LengthOfCreditHistory,BankruptcyHistory,PreviousLoanDefaults,PaymentHistory,LoanAmount,LoanPurpose,LoanDuration,RiskScore,LoanApproved
24,Single,0.0,Bachelor's,Employed,5.0,118657.0,82538.0,1111,327.0,0.112,23.6,3,4,3.6,0,0,39.8,131128,Debt Consolidation,60,38.1,1
18,Single,1.0,Bachelor's,Employed,0.0,224090.0,5868.0,4337,300.0,0.232,33.6,5,4,0.0,0,0,33.6,231823,Auto,36,45.7,1
22,Single,0.0,Bachelor's,Unemployed,6.0,100000.0,75829.0,1471,451.0,0.177,53.3,2,1,3.1,0,0,48.8,52273,Auto,60,44.2,0
19,Single,0.0,Bachelor's,Unemployed,2.0,100000.0,23514.0,852,373.0,0.102,40.3,2,4,0.4,0,0,32.8,223254,Education,48,26.6,1
21,Single,0.0,Master's,Employed,1.0,168589.0,214663.0,1019,350.0,0.073,39.7,2,1,1.6,0,0,51.7,430061,Education,36,33.6,1
22,Single,0.0,Master's,Employed,3.0,414665.0,,5847,463.0,0.169,29.7,4,2,3.1,0,0,49.6,1220876,Business,12,24.7,1
25,Single,0.0,PhD,Employed,0.0,676488.0,116711.0,10160,498.0,0.18,27.3,4,6,4.8,0,1,60.0,526665,Debt Consolidation,24,41.0,1
22,Single,1.0,High School,Self-Employed,6.0,224431.0,126354.0,3338,418.0,0.178,45.1,4,4,2.8,1,0,30.1,217161,Education,24,45.2,1
26,Single,2.0,PhD,Self-Employed,7.0,267753.0,55995.0,987,504.0,0.044,39.6,4,0,4.0,0,1,59.5,351054,Personal,120,32.1,1
24,Single,0.0,PhD,Employed,2.0,311390.0,80334.0,4229,371.0,0.163,62.7,3,1,3.2,0,0,34.1,642440,Business,36,43.3,1
28,Married,3.0,PhD,Unemployed,8.0,100000.0,8927.0,393,445.0,0.047,17.7,2,4,3.5,0,1,43.7,51099,Home,48,41.1,1
19,Single,0.0,High School,Self-Employed,1.0,199412.0,107864.0,2659,361.0,0.16,37.6,6,1,0.5,0,0,34.3,554551,Home,120,36.8,1
26,Single,2.0,Master's,Employed,4.0,462676.0,105026.0,1284,461.0,0.033,33.9,2,1,4.6,1,0,38.5,1004016,Auto,60,41.0,1
18,Married,0.0,Master's,Unemployed,3.0,100000.0,2516.0,1249,300.0,0.15,48.4,4,0,0.0,0,0,37.1,190504,Education,48,37.6,1
22,Married,1.0,High School,Self-Employed,1.0,197542.0,33366.0,3686,442.0,0.224,31.1,3,3,2.1,0,0,59.8,174370,Education,60,33.5,1
21,Single,0.0,Bachelor's,Self-Employed,0.0,282963.0,161790.0,3667,422.0,0.156,37.6,4,5,1.4,1,0,36.6,634724,Home,48,28.5,1
26,Married,2.0,Master's,Self-Employed,8.0,198421.0,133580.0,2209,406.0,0.134,50.0,2,1,6.3,0,0,47.4,346424,Auto,120,29.5,1
25,Married,1.0,Master's,Employed,3.0,705201.0,,3359,489.0,0.057,88.6,3,1,2.5,0,0,52.8,516537,Business,36,33.2,1
19,Single,0.0,PhD,Employed,0.0,222013.0,139840.0,2222,432.0,0.12,50.0,3,2,0.4,0,0,51.7,227037,Personal,60,33.6,1
18,Single,0.0,Bachelor's,Employed,0.0,100000.0,68900.0,1308,312.0,0.157,34.0,2,2,0.0,0,0,28.3,201567,Home,24,30.8,1
22,Married,0.0,Master's,Self-Employed,1.0,226108.0,42739.0,1646,446.0,0.087,46.3,1,4,2.7,0,0,48.4,465604,Education,48,33.7,1
22,Single,0.0,Master's,Employed,5.0,473446.0,163542.0,2873,353.0,0.073,34.4,1,0,1.9,0,0,41.9,537751,Business,36,29.3,1
22,Single,1.0,Bachelor's,Employed,2.0,261561.0,84053.0,5993,436.0,0.275,46.8,2,2,3.0,1,0,25.2,626031,Auto,120,46.4,1
21,Married,0.0,PhD,Employed,0.0,312063.0,54796.0,1744,354.0,0.067,36.7,3,0,2.3,1,1,27.2,819295,Home,120,48.9,1
30,Married,0.0,Master's,Self-Employed,7.0,304974.0,11978.0,2537,517.0,0.1,75.7,3,3,9.3,0,0,67.3,553780,Home,48,29.5,1
24,Single,0.0,Bachelor's,Employed,2.0,200661.0,113207.0,4375,437.0,0.262,32.6,3,2,2.2,0,0,47.4,171014,Auto,12,26.5,1
23,Single,1.0,Bachelor's,Self-Employed,3.0,223272.0,7354.0,4286,472.0,0.23,67.6,1,2,2.9,0,0,57.8,604293,Home,36,32.3,1
29,Married,0.0,Bachelor's,Employed,7.0,127749.0,103403.0,1557,391.0,0.146,38.5,7,2,4.0,0,0,40.5,198792,Education,48,34.8,1
25,Divorced,2.0,Bachelor's,Self-Employed,4.0,428499.0,390188.0,7693,524.0,0.215,50.6,3,1,2.9,0,0,55.7,930514,Education,48,21.7,1
26,Married,0.0,Master's,Self-Employed,5.0,469254.0,136088.0,1443,494.0,0.037,58.6,3,3,5.7,1,0,37.5,574030,Home,180,47.8,1
25,Married,1.0,Bachelor's,Employed,6.0,136352.0,8650.0,3640,479.0,0.32,21.0,5,0,5.4,0,0,50.8,301659,Education,36,29.0,1
22,Single,0.0,PhD,Employed,4.0,,38648.0,4199,390.0,0.333,48.2,6,0,1.5,0,0,42.1,368542,Home,240,34.9,0
18,Single,0.0,Bachelor's,Employed,2.0,202024.0,5815.0,3225,458.0,0.192,32.8,3,5,0.0,0,0,58.5,461594,Debt Consolidation,48,38.0,1
29,Married,1.0,High School,Employed,5.0,278588.0,100214.0,4812,463.0,0.207,46.5,2,0,4.1,0,0,53.1,700593,Auto,240,37.5,1
26,Divorced,2.0,Bachelor's,Employed,6.0,101528.0,4334.0,2687,508.0,0.318,44.9,6,2,5.6,0,1,61.6,206693,Business,60,45.8,1
24,Single,0.0,Master's,Unemployed,0.0,100000.0,18669.0,2331,345.0,0.28,56.5,1,0,4.0,0,0,39.0,264362,Business,12,35.6,1
29,Single,2.0,High School,Employed,5.0,366221.0,175601.0,4626,469.0,0.152,56.2,3,2,6.7,0,1,57.0,551070,Home,36,32.0,1
25,Single,1.0,Bachelor's,Employed,5.0,110234.0,6477.0,515,389.0,,65.3,2,2,5.3,1,0,19.9,134207,Auto,240,42.7,1
26,Single,2.0,High School,Employed,5.0,100000.0,4457.0,2131,,0.256,51.8,3,2,3.9,0,0,55.1,164612,Home,240,34.8,1
26,Single,2.0,High School,Employed,8.0,137855.0,3700.0,444,492.0,0.039,73.8,2,5,3.0,0,0,50.2,113057,Home,240,25.8,1
30,Single,0.0,Bachelor's,Unemployed,8.0,100000.0,1859.0,558,400.0,0.067,25.7,3,3,5.2,0,1,27.7,197797,Education,60,37.0,1
22,Single,0.0,Bachelor's,Employed,6.0,201962.0,63142.0,896,433.0,0.053,25.6,3,2,1.8,0,0,53.0,542787,Home,180,15.1,1
25,Married,0.0,High School,Employed,5.0,100000.0,10135.0,680,383.0,0.082,47.0,5,0,3.3,0,1,43.4,77413,Education,60,34.8,1
26,Single,3.0,High School,Self-Employed,1.0,,6257.0,1877,438.0,0.111,57.2,5,1,4.9,0,1,49.8,119852,Business,12,44.7,1
22,Single,0.0,Master's,Employed,,183179.0,121987.0,362,545.0,0.024,59.7,2,2,3.0,0,0,51.5,209688,Home,36,20.8,1
27,Married,1.0,Bachelor's,Employed,5.0,368738.0,62871.0,4634,434.0,0.151,14.5,4,2,4.0,1,0,36.7,1020690,Home,180,34.9,1
29,Married,0.0,Bachelor's,Employed,9.0,246534.0,83425.0,3909,487.0,0.19,80.6,3,4,8.2,0,1,50.4,219602,Education,180,48.2,1
20,Married,0.0,Bachelor's,Employed,3.0,100000.0,1843.0,660,498.0,0.079,13.1,7,6,0.7,0,0,64.3,148718,Debt Consolidation,60,10.4,1
22,Single,0.0,Master's,Employed,2.0,270262.0,21197.0,2029,506.0,0.09,,0,1,2.8,0,0,63.7,158455,Auto,36,24.8,1
28,Married,2.0,Master's,Employed,8.0,841105.0,570306.0,8741,465.0,0.125,50.7,6,2,3.3,0,0,42.4,1610988,Home,120,41.3,1
20,Single,0.0,Master's,Employed,2.0,1098060.0,14188.0,4194,425.0,0.046,55.4,0,1,0.7,0,0,46.8,2158099,Home,240,29.4,1
20,Single,0.0,High School,Employed,0.0,155295.0,150451.0,1959,383.0,0.151,49.2,3,3,1.3,0,0,52.7,260012,Home,240,24.5,1
24,Single,1.0,Master's,Employed,,541316.0,23307.0,5688,,0.126,50.5,7,0,3.0,0,0,43.0,1089122,Debt Consolidation,240,32.3,1
24,Single,0.0,Bachelor's,Employed,2.0,207304.0,2405.0,1348,345.0,0.078,41.3,2,0,2.0,0,1,49.0,415858,Auto,60,49.0,1
27,Single,3.0,High School,Self-Employed,6.0,206784.0,12745.0,3861,555.0,0.224,73.5,6,4,3.6,0,0,68.0,278643,Business,48,39.8,1
27,Married,1.0,Bachelor's,Employed,3.0,658668.0,13981.0,8021,392.0,0.146,48.5,3,1,5.7,0,0,55.3,1648714,Personal,120,36.1,1
25,Married,1.0,Bachelor's,Self-Employed,0.0,285982.0,244900.0,5336,411.0,0.224,19.2,10,3,3.8,1,0,19.4,818690,Education,36,49.9,1
19,Single,0.0,Master's,Unemployed,1.0,104029.0,5672.0,1487,358.0,0.172,82.7,5,1,0.3,0,0,46.1,234016,Debt Consolidation,24,34.3,0
21,Single,0.0,Master's,Unemployed,2.0,100000.0,46485.0,871,412.0,0.105,63.3,1,2,2.0,0,0,45.7,208697,Business,36,28.7,1
21,Married,0.0,High School,Employed,6.0,150721.0,83666.0,1436,306.0,0.114,53.5,3,0,2.0,0,1,47.9,249574,Home,180,37.3,1
27,Married,2.0,Master's,Employed,8.0,267414.0,124875.0,2974,407.0,0.133,45.5,2,3,3.1,0,0,47.2,632408,Personal,180,25.1,1
21,Single,0.0,Bachelor's,Employed,0.0,100000.0,27498.0,824,483.0,,83.6,5,6,1.6,0,1,53.5,132585,Education,36,39.9,1
27,Married,0.0,PhD,Employed,9.0,458088.0,32255.0,10098,425.0,0.265,48.2,4,2,3.8,0,0,54.5,286536,Home,60,32.4,1
24,Single,0.0,Bachelor's,Employed,0.0,100000.0,4874.0,216,388.0,0.026,45.4,4,6,4.1,1,0,34.5,211929,Auto,240,39.2,0
24,Single,1.0,Master's,Self-Employed,4.0,1065612.0,306525.0,7286,431.0,0.082,75.6,5,2,2.0,0,0,46.7,741005,Home,48,30.2,1
20,Single,0.0,Bachelor's,Self-Employed,0.0,209811.0,5884.0,3143,504.0,0.18,87.7,3,3,0.8,0,0,56.6,225241,Auto,24,36.9,0
26,Married,1.0,Master's,Self-Employed,4.0,546064.0,354378.0,3105,517.0,0.068,71.5,3,3,6.0,0,0,73.9,1637546,Personal,120,34.5,1
28,Single,0.0,Master's,Employed,4.0,182084.0,36627.0,1611,446.0,0.106,24.2,4,0,4.6,0,1,51.8,491294,Home,180,41.9,1
18,Single,,Master's,Employed,0.0,235453.0,28270.0,1451,465.0,0.074,54.2,0,3,0.0,0,0,53.0,350349,Education,60,20.2,1
21,Single,0.0,Master's,Employed,3.0,119284.0,3449.0,891,,0.09,34.4,6,1,2.3,0,0,57.2,196587,Personal,60,19.2,1
26,Married,1.0,Bachelor's,Self-Employed,7.0,,196492.0,12835,561.0,0.347,35.0,5,1,3.5,0,1,56.7,291112,Education,36,40.1,1
29,Divorced,2.0,Bachelor's,Employed,5.0,209017.0,89126.0,2526,517.0,0.145,63.2,4,0,8.8,0,0,67.1,218670,Auto,36,33.8,1
27,Single,2.0,Bachelor's,Employed,4.0,117370.0,74602.0,884,,0.09,,4,0,5.5,0,1,39.2,127765,Auto,120,56.3,0
20,Married,0.0,Master's,Unemployed,2.0,100000.0,62445.0,487,432.0,0.058,23.6,3,5,1.2,0,0,49.4,69573,Business,240,31.1,1
25,Married,3.0,High School,Self-Employed,6.0,144346.0,55092.0,1874,332.0,0.156,29.7,3,2,5.3,0,0,52.4,171671,Auto,24,29.6,1
25,Single,2.0,Master's,Employed,1.0,165007.0,105593.0,2679,443.0,0.195,50.6,2,1,5.2,0,0,54.7,161270,Personal,36,41.9,0
23,Married,0.0,Master's,Employed,0.0,153079.0,2868.0,934,359.0,0.073,22.9,2,2,3.2,0,0,44.6,331677,Business,48,28.7,1
26,Single,,Bachelor's,Employed,4.0,187102.0,7315.0,3105,390.0,0.199,67.4,2,5,5.0,0,0,43.0,254312,Education,60,39.7,1
28,Single,1.0,Master's,Self-Employed,6.0,427627.0,197500.0,3403,390.0,0.095,80.6,5,1,3.7,0,0,36.8,1053362,Education,12,42.7,1
25,Single,0.0,High School,Unemployed,9.0,100000.0,6612.0,940,475.0,0.113,12.3,5,2,4.8,0,0,54.6,270962,Personal,180,25.7,1
25,Married,2.0,Bachelor's,Employed,4.0,212710.0,56588.0,2673,383.0,0.151,,2,1,3.1,0,0,54.2,319839,Home,48,26.1,1
28,Divorced,1.0,Bachelor's,Unemployed,12.0,106991.0,3515.0,1498,512.0,0.168,22.8,5,0,6.6,0,0,56.7,223788,Home,48,16.9,0
28,Married,2.0,High School,Unemployed,7.0,100000.0,46095.0,743,312.0,0.089,56.6,5,4,7.2,0,0,40.5,64322,Home,48,43.7,1
18,Single,1.0,Bachelor's,Self-Employed,2.0,206963.0,7103.0,1487,,0.086,32.7,3,1,0.0,0,0,54.8,488077,Business,60,38.5,1
26,Married,0.0,Bachelor's,Employed,5.0,322498.0,110647.0,1548,473.0,0.058,31.8,8,1,2.5,0,0,56.7,455685,Education,120,22.9,1
25,Single,0.0,Master's,Employed,6.0,210138.0,2357.0,1827,483.0,0.104,38.9,1,4,2.8,0,0,61.2,371195,Education,48,23.5,1
20,Single,1.0,Bachelor's,Employed,0.0,438753.0,117361.0,4073,455.0,0.111,61.9,0,2,1.5,0,0,66.5,570932,Home,60,33.5,1
25,Single,2.0,Bachelor's,Employed,2.0,333013.0,118043.0,1264,411.0,0.046,26.6,2,0,2.9,0,1,41.9,265253,Home,180,32.7,1
25,Married,2.0,Bachelor's,Employed,4.0,448218.0,193798.0,2709,,0.073,,3,1,3.1,0,0,69.8,566254,Education,24,32.0,1
18,Single,1.0,Bachelor's,Employed,0.0,100000.0,4780.0,596,316.0,0.072,72.9,2,3,0.0,0,0,53.7,283580,Home,48,31.4,1
26,Married,1.0,Bachelor's,Unemployed,2.0,100000.0,57274.0,490,446.0,0.059,66.6,3,0,5.3,0,1,65.0,252893,Home,48,36.7,1
24,Single,1.0,PhD,Employed,4.0,135945.0,56321.0,1992,342.0,0.176,52.6,3,1,4.5,0,0,50.1,280914,Education,60,37.5,1
24,Single,0.0,Master's,Employed,5.0,197506.0,79420.0,4468,583.0,0.271,41.3,1,0,3.6,0,0,61.3,289533,Education,24,18.8,1
22,Single,1.0,High School,Employed,5.0,100000.0,35760.0,166,453.0,0.02,43.9,4,2,2.7,1,1,44.1,236822,Education,60,53.3,0
27,Married,0.0,Bachelor's,Employed,7.0,180921.0,29670.0,1987,439.0,0.132,37.3,6,2,2.8,0,0,52.3,464421,Home,36,36.0,1
23,Single,0.0,Master's,Employed,5.0,,64226.0,2836,,0.293,22.2,3,3,2.2,0,0,50.5,209909,Personal,48,36.2,1
25,Single,2.0,Bachelor's,Employed,3.0,728808.0,82274.0,14137,521.0,0.233,17.3,3,0,2.7,0,0,47.8,1987671,Business,60,35.1,1
23,Married,1.0,High School,Employed,0.0,185872.0,2070.0,2935,373.0,0.189,70.9,4,6,3.1,0,1,47.2,203694,Education,36,46.6,1
26,Single,2.0,Master's,Unemployed,5.0,195678.0,51156.0,799,361.0,0.049,30.2,5,0,3.9,0,0,43.9,292598,Education,60,29.2,1
21,Married,0.0,Bachelor's,Unemployed,1.0,100000.0,2623.0,1249,358.0,0.15,58.0,1,1,1.8,0,1,35.5,254120,Debt Consolidation,180,45.3,1
26,Married,1.0,Bachelor's,Employed,4.0,197314.0,22774.0,4920,500.0,0.299,74.5,4,4,4.5,0,0,71.9,549255,Auto,48,27.8,1
27,Single,1.0,High School,Self-Employed,6.0,224100.0,165215.0,6519,448.0,0.349,50.1,4,0,4.3,0,1,51.0,506895,Education,240,46.5,1
23,Married,0.0,Bachelor's,Employed,4.0,293473.0,31276.0,5814,331.0,0.238,39.6,7,2,3.5,0,0,45.2,806240,Home,36,44.6,1
20,Married,0.0,Master's,Employed,0.0,246860.0,24852.0,1312,468.0,0.064,81.0,5,0,1.2,0,0,52.2,353785,Education,120,24.6,1
24,Single,0.0,Master's,Employed,1.0,213888.0,58235.0,472,447.0,0.026,59.7,4,3,3.8,0,0,51.4,401245,Home,180,33.0,1
27,Single,1.0,Bachelor's,Unemployed,9.0,100000.0,,922,566.0,0.111,42.8,4,1,6.5,0,0,74.6,247958,Business,60,24.8,1
23,Single,0.0,Bachelor's,Employed,6.0,205004.0,18623.0,2158,439.0,0.126,14.4,2,3,2.8,0,1,58.7,403075,Education,24,34.1,1
19,Single,0.0,High School,Employed,0.0,131853.0,10028.0,1293,351.0,0.118,47.6,3,1,0.7,0,1,42.1,220584,Auto,240,51.2,0
28,Divorced,1.0,Master's,Self-Employed,3.0,,33512.0,1517,469.0,0.125,73.4,4,0,3.2,0,0,49.2,252717,Personal,48,32.8,1
23,Married,1.0,Bachelor's,Employed,4.0,135940.0,17688.0,2183,300.0,0.193,61.4,4,3,3.5,0,1,34.9,240872,Home,180,52.2,0
24,Single,1.0,Master's,Unemployed,5.0,100000.0,59379.0,1573,419.0,0.189,23.0,3,3,2.0,0,0,49.4,64222,Education,120,37.2,1
24,Single,0.0,Bachelor's,Employed,1.0,149944.0,,1359,359.0,0.109,23.6,6,2,2.1,1,0,28.7,241473,Education,60,41.6,1
21,Single,0.0,Master's,Self-Employed,5.0,282180.0,17507.0,844,449.0,0.036,35.2,3,3,1.8,0,0,56.2,788926,Home,120,16.9,1
27,Single,1.0,Bachelor's,Employed,6.0,147523.0,43262.0,3389,492.0,0.276,39.6,9,1,7.2,0,1,53.3,139123,Home,12,39.7,1
25,Single,1.0,PhD,Employed,2.0,303382.0,129089.0,3004,564.0,0.119,83.1,5,1,3.5,0,0,57.6,682236,Business,36,32.1,0
22,Single,0.0,Master's,Self-Employed,5.0,227122.0,58959.0,4087,389.0,0.216,45.4,3,2,1.6,0,1,50.7,392018,Education,48,36.0,1
26,Married,0.0,High School,Employed,6.0,103532.0,31104.0,1072,489.0,0.124,66.7,1,1,3.8,0,0,61.8,213007,Home,60,28.6,1
21,Single,0.0,Bachelor's,Employed,3.0,273288.0,61988.0,2619,493.0,,54.9,6,3,1.8,1,0,32.0,700394,Debt Consolidation,240,45.7,0
28,Single,1.0,Master's,Self-Employed,6.0,402662.0,143770.0,7483,432.0,0.223,85.4,5,1,6.8,1,1,34.8,373098,Business,60,66.6,0
22,Single,0.0,High School,Self-Employed,1.0,100000.0,52582.0,741,452.0,0.089,63.2,3,1,3.0,0,1,60.6,261236,Debt Consolidation,180,33.3,1
25,Married,0.0,PhD,Employed,4.0,452317.0,262685.0,3119,457.0,0.083,49.4,5,2,2.3,0,0,45.2,725504,Debt Consolidation,48,25.9,1
18,Single,0.0,Bachelor's,Self-Employed,0.0,255035.0,4961.0,3902,442.0,0.184,26.1,2,3,0.0,0,0,43.0,669111,Education,240,34.4,1
22,Single,0.0,High School,Self-Employed,4.0,114603.0,46692.0,1110,356.0,0.116,26.2,2,0,1.4,0,1,41.0,304099,Home,36,46.2,1
26,Married,3.0,High School,Self-Employed,7.0,102716.0,4870.0,857,363.0,0.1,52.6,5,3,5.6,0,0,38.7,290404,Auto,180,34.1,1
25,Married,3.0,High School,Unemployed,2.0,100000.0,46048.0,261,442.0,0.031,27.7,4,1,3.5,0,0,59.4,161813,Debt Consolidation,48,21.4,1
28,Married,0.0,Master's,Employed,5.0,205419.0,239363.0,561,390.0,0.033,57.2,8,2,4.4,0,0,61.5,402179,Home,240,25.9,1
26,Married,2.0,Master's,Employed,6.0,278932.0,11429.0,3793,481.0,0.163,19.5,5,6,2.5,0,0,62.3,266817,Home,180,25.1,1
19,Married,0.0,Master's,Employed,0.0,248688.0,213635.0,4774,368.0,0.23,18.2,1,2,0.3,0,1,55.1,147267,Debt Consolidation,24,32.6,1
23,Single,1.0,Master's,Employed,2.0,776522.0,247693.0,12142,441.0,0.188,66.3,7,1,2.3,0,0,56.0,654501,Auto,36,36.6,1
21,Single,0.0,Master's,Self-Employed,5.0,425034.0,103451.0,5424,436.0,0.153,69.7,2,3,1.9,1,0,35.9,1269286,Home,24,42.9,1
23,Single,0.0,Bachelor's,Employed,3.0,100000.0,27135.0,746,432.0,0.09,27.8,3,2,2.2,0,0,30.7,107713,Auto,60,26.5,1
24,Single,1.0,PhD,Employed,3.0,280835.0,3751.0,2734,397.0,0.117,35.9,6,4,3.4,0,0,61.8,445453,Business,24,25.2,1
20,Single,0.0,High School,Employed,1.0,135319.0,8243.0,3898,550.0,0.346,23.0,6,4,1.3,0,0,70.2,73426,Debt Consolidation,60,28.8,1
23,Single,0.0,Master's,Employed,1.0,132908.0,54645.0,2432,408.0,0.22,57.0,3,2,3.0,0,1,43.2,327326,Personal,240,42.0,1
24,Single,0.0,Bachelor's,Self-Employed,5.0,272701.0,133925.0,1114,513.0,0.049,21.5,5,3,1.9,0,0,63.6,477464,Home,240,24.7,1
23,Single,0.0,High School,Self-Employed,6.0,143846.0,125038.0,1012,422.0,0.084,28.4,4,2,2.1,0,0,36.9,286311,Business,180,22.0,1
24,Single,0.0,Bachelor's,Unemployed,6.0,100000.0,4551.0,852,416.0,0.102,85.6,6,4,4.0,0,0,55.2,132895,Auto,36,45.7,1
20,Single,0.0,High School,Employed,2.0,100038.0,31309.0,958,411.0,0.115,31.0,2,2,1.4,0,0,41.0,132642,Business,120,34.2,1
23,Single,0.0,Bachelor's,Employed,1.0,381535.0,17059.0,3053,466.0,,48.3,5,1,2.3,0,1,65.7,772611,Auto,240,31.3,1
25,Married,0.0,High School,Unemployed,5.0,100000.0,31707.0,887,499.0,0.106,44.6,8,2,4.6,0,0,69.4,138917,Business,48,23.4,1
23,Single,0.0,Bachelor's,Employed,7.0,235774.0,3811.0,1704,446.0,0.087,44.8,5,1,2.3,0,0,53.1,479505,Home,24,29.2,1
24,Single,,Bachelor's,Self-Employed,2.0,315314.0,55117.0,2624,396.0,0.1,60.3,4,2,4.4,1,0,32.2,191341,Business,12,42.9,1
30,Married,2.0,Master's,Employed,6.0,343005.0,287498.0,827,403.0,0.029,45.4,5,3,6.0,0,0,51.1,182680,Education,60,34.8,1
27,Married,2.0,Bachelor's,Employed,7.0,349042.0,58864.0,907,440.0,0.031,38.5,3,3,4.0,0,0,52.1,278433,Business,48,23.2,1
24,Single,1.0,Bachelor's,Employed,,135938.0,4484.0,1211,412.0,0.107,52.2,4,1,3.8,0,0,39.2,97209,Education,24,30.6,1
19,Single,0.0,Master's,Employed,0.0,115492.0,59009.0,1242,358.0,0.129,34.8,3,1,0.5,1,0,29.4,118842,Education,180,40.7,1
22,Married,0.0,Bachelor's,Unemployed,0.0,116141.0,2946.0,2134,323.0,0.22,67.5,2,1,2.3,0,0,37.4,194685,Debt Consolidation,24,48.4,1
20,Married,0.0,Master's,Employed,0.0,449689.0,64636.0,6536,356.0,0.174,36.6,1,1,1.2,0,0,32.4,587753,Home,240,34.9,1
22,Single,0.0,Bachelor's,Employed,2.0,201253.0,38377.0,552,477.0,0.033,39.3,0,1,1.7,0,0,50.3,572636,Debt Consolidation,240,21.0,1
24,Single,0.0,Bachelor's,Employed,5.0,384917.0,30922.0,6612,402.0,0.206,58.7,2,0,2.8,0,0,48.6,902352,Auto,48,31.7,1
22,Married,0.0,Bachelor's,Employed,,100000.0,4068.0,2500,449.0,0.3,79.3,6,3,3.0,0,0,43.1,224070,Auto,36,41.6,1
25,Single,2.0,High School,Self-Employed,7.0,138270.0,6370.0,2988,514.0,0.259,42.9,3,1,5.3,0,0,60.9,306953,Home,180,35.9,1
26,Married,3.0,Bachelor's,Employed,8.0,247943.0,84985.0,4031,400.0,0.195,61.9,4,5,3.8,1,0,15.3,727696,Education,36,49.0,1
25,Married,2.0,Bachelor's,Employed,3.0,382964.0,283526.0,8766,404.0,0.275,42.8,4,0,3.5,0,1,44.2,380149,Personal,120,43.5,0
22,Single,0.0,Master's,Employed,0.0,100000.0,10295.0,1660,488.0,0.199,75.0,4,2,1.6,0,0,52.7,155456,Education,60,32.5,1
26,Married,0.0,Master's,Employed,0.0,251699.0,31237.0,3942,445.0,0.188,58.1,5,1,3.5,0,0,46.3,527020,Home,36,25.6,1
22,Single,1.0,Master's,Employed,2.0,515685.0,390549.0,5466,445.0,0.127,65.7,1,3,1.8,0,0,51.5,1197989,Home,60,32.7,1
25,Married,0.0,Bachelor's,Employed,5.0,536642.0,186160.0,7493,,0.168,23.0,6,2,5.6,0,1,71.2,985772,Auto,240,38.1,1
20,Single,1.0,Bachelor's,Unemployed,1.0,,26983.0,1275,456.0,,36.9,2,2,1.6,0,0,54.6,167014,Business,240,30.5,1
25,Single,1.0,Bachelor's,Unemployed,4.0,100000.0,39862.0,1327,453.0,0.159,46.4,4,0,2.6,0,1,48.6,55784,Education,36,29.2,1
23,Single,0.0,Master's,Self-Employed,5.0,190624.0,70207.0,2479,390.0,0.156,57.3,4,2,2.3,0,0,34.7,240295,Debt Consolidation,36,31.1,1
26,Single,2.0,PhD,Employed,4.0,237233.0,9953.0,5215,387.0,0.264,99.1,6,6,3.4,0,0,36.5,293145,Debt Consolidation,240,40.6,1
23,Married,,Master's,Employed,3.0,410749.0,16486.0,8471,403.0,0.247,97.7,2,0,1.6,0,0,41.3,1121246,Home,36,38.2,1
25,Single,0.0,PhD,Self-Employed,4.0,212958.0,111773.0,3814,,0.215,46.5,5,1,5.0,0,0,55.5,146271,Education,180,29.1,1
19,Single,0.0,High School,Unemployed,1.0,100000.0,26082.0,1156,411.0,0.139,44.3,0,0,0.5,0,0,56.3,246060,Personal,36,42.0,1
25,Married,0.0,Bachelor's,Unemployed,0.0,109126.0,35156.0,2999,445.0,0.33,19.0,6,2,5.4,0,0,45.6,267458,Personal,60,35.3,1
26,Married,2.0,High School,Employed,7.0,131211.0,55349.0,2106,310.0,0.193,33.5,2,4,4.7,0,1,24.3,164372,Auto,36,37.8,1
21,Single,0.0,High School,Employed,5.0,102249.0,2183.0,656,402.0,0.077,54.6,2,2,1.9,0,0,52.9,208201,Home,180,42.1,1
26,Married,1.0,Bachelor's,Employed,2.0,139885.0,17442.0,3027,453.0,0.26,40.9,2,2,2.5,0,0,52.2,392097,Personal,60,30.8,0
27,Single,1.0,High School,Employed,3.0,100000.0,68484.0,304,528.0,0.036,59.2,4,3,6.9,0,0,62.0,241940,Business,60,20.7,1
29,Married,0.0,Master's,Employed,8.0,291376.0,74665.0,5076,467.0,0.209,63.4,4,2,7.0,0,1,55.0,562807,Personal,240,50.7,0
27,Married,3.0,Master's,Employed,8.0,163290.0,107320.0,1928,442.0,0.142,58.8,5,2,4.5,0,0,43.3,91889,Education,48,30.6,1
21,Single,0.0,Bachelor's,Unemployed,2.0,100000.0,8152.0,1604,306.0,0.192,20.3,3,2,1.9,1,0,18.6,72562,Business,60,43.3,1
20,Married,,High School,Self-Employed,0.0,137615.0,60502.0,555,379.0,0.048,20.7,2,1,1.4,0,0,49.2,378997,Debt Consolidation,120,18.9,1
19,Single,0.0,Master's,Unemployed,1.0,100000.0,55616.0,401,434.0,0.048,64.3,6,2,0.6,0,0,56.9,271108,Home,36,21.4,1
26,Married,1.0,Bachelor's,Employed,5.0,223522.0,114469.0,2332,438.0,0.125,88.4,2,1,6.0,1,0,48.8,361367,Personal,36,44.3,1
